business_id,name,rating,review_count,overall_sentiment_vader,instructor_sentiment_vader,cleanliness_sentiment_vader,intensity_sentiment_vader,vibe_sentiment_vader,customer_service_sentiment_vader,space_equipment_sentiment_vader,parking_sentiment_vader,price_sentiment_vader,variety_sentiment_vader,crowdedness_sentiment_vader,music_sentiment_vader,city,address,latitude,longitude,google_place_id,google_rating,google_user_ratings_total
mhgDiAbU34B51ixUtooJeg,Pilatesmith - Culver City,4.9,111,0.4012,0.46695,0.86985,0.5594,0.5392,0.86985,0.6249,0.8316,0.9664,0.6713,0.0,0.56185,Los Angeles,12450 W Washington Blvd,33.996637,-118.429342,ChIJo_M4kLK7woARbGvyQMQMHAY,4.9,223
bANOkZTFyqaE_NmJ5WcW2g,Movement Pilates,5.0,13,0.2711222222222222,0.5134,0.4019,0.9787,0.9787,0.9787,0.9787,0.0,0.9787,0.0,0.9153,0.9787,Los Angeles,400 S Western Ave,34.067003,-118.308715,ChIJbZ5jUoW4woARUSvtSopEjik,4.7,14
h5kBhPLU2YyMgziSwP1xfQ,Tribe Pilates,4.8,42,0.3577619047619047,0.6428333333333334,0.4576,0.5859,0.5859,0.9883,0.8126333333333333,0.7184,0.9883,0.6697,0.9883,0.9883,Studio City,12265 Ventura Blvd,34.14354923932295,-118.4003885583684,ChIJLcIWoJ69woARUZpXm8eAPCk,5,24
saBlqB-YGvBjsJZ5oAqjZQ,Kore Pilates,4.6,18,0.3493705882352941,0.6429,0.4019,0.9675,0.9675,0.9675,0.9675,0.4623,0.9675,0.4005,0.9675,0.9675,Los Angeles,3500 W 6th St,34.063182,-118.298594,ChIJV78tDqXHwoARU11113fNgUo,4.6,51
kP-7KPaMoNUv0TnXiPLSQA,Piladaum + Pilates,4.9,23,0.2170083333333333,0.5709,0.2144,0.959,0.959,0.959,0.20795,0.9274,0.2144,0.959,0.2144,0.959,Los Angeles,555 S Western Ave 207,34.064004,-118.309662,ChIJ8QI2yLy5woARwBptmo77Qr4,4.8,16
iVFBBJwJn_23rFo57f9YHw,Flow Pilates,5.0,10,0.3577590909090908,0.5267000000000001,0.6826333333333334,0.548575,0.9552,0.8838,0.8838,0.9552,0.8838,0.9136,0.8838,0.9552,Los Angeles,2873 W 7th St,34.05994165868551,-118.2860816,ChIJdQKwvSPHwoAR4uj5p3Q_o78,4.7,15
dNt3RE8N1OXFHpsukaWqWw,Dr Pilates,4.5,189,0.334,0.37964,0.9637,0.4404,0.6705,0.79,0.8481,0.9637,0.9637,0.1468,0.9637,0.9637,Los Angeles,5665 Melrose Ave,34.08363,-118.32409,ChIJB7GR8Me4woARTfaBwq9RTtU,4.5,72
zKCJszp_PKoLZ_8Cd0Mk_g,Pilates By Julie,5.0,13,0.2138866666666666,0.4037,0.8617,0.8617,0.8617,0.8617,0.8617,0.8617,0.8617,0.0,0.8617,0.8617,Los Angeles,,34.06639391193158,-118.30989716849312,ChIJj0KqUq3jEU8R0n2jq7aSYPI,5,11
RZssYlU0qlIcvFgDCEV7hA,Club Pilates,4.0,121,0.1780761904761904,0.6144499999999999,0.944,0.944,0.6475500000000001,0.4215,0.944,0.5994,0.944,0.4037,0.944,0.944,Los Angeles,200 S Los Angeles St,34.0498112,-118.2434881,ChIJ5VLMzMS_woARIe7MXgNxFL0,5,3
Loxi3U-PdwWKDGv6Q_fLVQ,The Pilates Cave,4.8,23,0.4974315789473684,0.584425,0.9873,-0.0258,0.5859,0.9106,0.9873,0.5994,0.9873,-0.0129,0.9873,0.9873,Los Angeles,11824 W Pico Blvd,34.0303215,-118.447881,ChIJsYUcdd27woAR5cY7zKbxkw8,5,20
